title,company,location,link
헬스케어 제휴 전문가,LG유플러스,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5eb6f7cd215e654f&vjs=3
블록체인 센터 사업 기획자 (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a7e0ef8bf3ea02c4&vjs=3
블록체인 센터 마케팅 담당자 (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d450bffb738a878a&vjs=3
(주)KB저축은행 정규직(경력) 수시,KB저축은행,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6ccdda689331dd81&vjs=3
(주)코어닥스 신입 / 경력 대규모,코어닥스,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=22968dfd3a8c3eaf&vjs=3
"프론트엔드, 백엔드, 클라우드 엔지니어, 서비스 기획 정규직&계약직",아이피샵,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2535dda30e7b09ab&vjs=3
"(주) 코어닥스 준법감시실 법무, 감사 담당자",코어닥스,서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f10b98aead3fe73a&vjs=3
블록체인 센터 UX/UI 디자이너 (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=529531fed7f9877d&vjs=3
"영업관리, 영업지원 신입/경력 계약직",SINGAPORE BITGET PTE.LTD.,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f309dd536d0b20f9&vjs=3
디지털 전략기획(IT) 담당자 (경력),현대차증권,None,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d426422ebc4b23c5&vjs=3
블록체인 센터 웹 프론트엔드 개발자 (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ce9a0848ec1c7b6b&vjs=3
"Global Business Development (LINE Blockchain, NFT Platform)",언블락,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6a794d6d480e4914&vjs=3
웹 서비스 개발자 (FE / BE) 인턴,제이앤피메디,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=44ad5bede61ed130&vjs=3
블록체인 센터 커뮤니티 매니저 (무관),네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=335b0374b6ea2730&vjs=3
Blockchain Platform 개발 / 분산 플랫폼 개발,알투브이,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3fe823bafcdcf478&vjs=3
신사업 경력직 채용[수소],현대글로비스,서울 역삼동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a320f1de4b2555d4&vjs=3
글로벌 게임 플랫폼 사업개발 담당자 (무관),네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e15b9be5e5759f3c&vjs=3
블록체인 센터 웹 서버 개발자 (경력),네오위즈,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a9e05c085737e71b&vjs=3
[TmaxCommerce/기술] Commerce 제품기획 팀장,티맥스그룹,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3aaeaccee22586d1&vjs=3
[EY컨설팅] 컨설팅본부 유통/커머스 산업 경력 컨설턴트 및 시스템 설계자 모집,EY,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ef4a31e93592efdc&vjs=3
[대형보험사] 신사업부문 블록체인 Backend 개발자,커리어라임즈,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7ca398dc2c3db33e&vjs=3
JAVA 백엔드 개발자(웹/앱) -강남/스타트업/쇼핑몰/커머스/인센티브,티에스커리어,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5b00210f242c700c&vjs=3
"웹개발, 백엔드 외 신입/경력 정규직",코인챗,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e3f3b7e2103d9bc7&vjs=3
[TmaxCommerce/기술] Commerce 제품기획 담당자,티맥스그룹,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=86a93e65e8650616&vjs=3
지스트 블록체인지능융합센터 연구교원(리더급 우수교원) 초빙,광주과학기술원,광주 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=10ab4b97e3a5df47&vjs=3
"2021상반기 각 부문(개발팀장, 백엔드개발, 블록체인개발,웹디자인,UX/UI디자인,네트워크) 신입 및 경력",더블유에이디홀딩스,광주 서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ffdfeaaaa1e15898&vjs=3
Cloud Support Engineer,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a99b3e48ddf71f96&vjs=3
블록체인 (SWA) 경력사원 채용,한화그룹,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a526e83481f74872&vjs=3
LECLE 디자이너,레클,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c749c8d122e21d3e&vjs=3
